	chrom	source	type	start	end	score	strand	phase	attributes	ID	Name	gbkey	gene	gene_biotype	gene_synonym	locus_tag	old_locus_tag	gieStain
0	NC_017628.1	RefSeq	gene	190	255	.	+	.	ID=gene-ECOK1_RS00005;Name=thrL;gbkey=Gene;gene=thrL;gene_biotype=protein_coding;locus_tag=ECOK1_RS00005;old_locus_tag=ECOK1_0001	gene-ECOK1_RS00005	thrL	Gene	thrL	protein_coding		ECOK1_RS00005	ECOK1_0001	.
1	NC_017628.1	RefSeq	gene	336	2798	.	+	.	ID=gene-ECOK1_RS00010;Name=thrA;gbkey=Gene;gene=thrA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00010;old_locus_tag=ECOK1_0002	gene-ECOK1_RS00010	thrA	Gene	thrA	protein_coding		ECOK1_RS00010	ECOK1_0002	.
2	NC_017628.1	RefSeq	gene	2800	3732	.	+	.	ID=gene-ECOK1_RS00015;Name=thrB;gbkey=Gene;gene=thrB;gene_biotype=protein_coding;locus_tag=ECOK1_RS00015;old_locus_tag=ECOK1_0003	gene-ECOK1_RS00015	thrB	Gene	thrB	protein_coding		ECOK1_RS00015	ECOK1_0003	.
3	NC_017628.1	RefSeq	gene	3733	5019	.	+	.	ID=gene-ECOK1_RS00020;Name=thrC;gbkey=Gene;gene=thrC;gene_biotype=protein_coding;locus_tag=ECOK1_RS00020;old_locus_tag=ECOK1_0004	gene-ECOK1_RS00020	thrC	Gene	thrC	protein_coding		ECOK1_RS00020	ECOK1_0004	.
4	NC_017628.1	RefSeq	gene	5233	5529	.	+	.	ID=gene-ECOK1_RS00030;Name=ECOK1_RS00030;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS00030	gene-ECOK1_RS00030	ECOK1_RS00030	Gene		protein_coding		ECOK1_RS00030		.
5	NC_017628.1	RefSeq	gene	5569	6345	.	-	.	ID=gene-ECOK1_RS00035;Name=yaaA;gbkey=Gene;gene=yaaA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00035;old_locus_tag=ECOK1_0006	gene-ECOK1_RS00035	yaaA	Gene	yaaA	protein_coding		ECOK1_RS00035	ECOK1_0006	.
6	NC_017628.1	RefSeq	gene	6415	7845	.	-	.	ID=gene-ECOK1_RS00040;Name=yaaJ;gbkey=Gene;gene=yaaJ;gene_biotype=protein_coding;locus_tag=ECOK1_RS00040;old_locus_tag=ECOK1_0007	gene-ECOK1_RS00040	yaaJ	Gene	yaaJ	protein_coding		ECOK1_RS00040	ECOK1_0007	.
7	NC_017628.1	RefSeq	gene	8124	9077	.	+	.	ID=gene-ECOK1_RS00045;Name=tal;gbkey=Gene;gene=tal;gene_biotype=protein_coding;locus_tag=ECOK1_RS00045;old_locus_tag=ECOK1_0008	gene-ECOK1_RS00045	tal	Gene	tal	protein_coding		ECOK1_RS00045	ECOK1_0008	.
8	NC_017628.1	RefSeq	gene	9192	9779	.	+	.	ID=gene-ECOK1_RS00050;Name=mog;gbkey=Gene;gene=mog;gene_biotype=protein_coding;locus_tag=ECOK1_RS00050;old_locus_tag=ECOK1_0009	gene-ECOK1_RS00050	mog	Gene	mog	protein_coding		ECOK1_RS00050	ECOK1_0009	.
9	NC_017628.1	RefSeq	gene	9984	10550	.	-	.	ID=gene-ECOK1_RS00060;Name=satP;gbkey=Gene;gene=satP;gene_biotype=protein_coding;locus_tag=ECOK1_RS00060;old_locus_tag=ECOK1_0010	gene-ECOK1_RS00060	satP	Gene	satP	protein_coding		ECOK1_RS00060	ECOK1_0010	.
