	chrom	start	end	Name	gieStain
0	NC_017628.1	0	512	clbS	.
1	NC_017628.1	547	1269	clbQ	.
2	NC_017628.1	1262	2776	clbP	.
3	NC_017628.1	2789	5248	clbO	.
4	NC_017628.1	5279	9646	clbN	.
5	NC_017628.1	9643	11082	clbM	.
6	NC_017628.1	11144	12607	clbL	.
7	NC_017628.1	12600	19064	clbK	.
8	NC_017628.1	19075	25575	clbJ	.
9	NC_017628.1	25619	28651	clbI	.
10	NC_017628.1	28701	33497	clbH	.
11	NC_017628.1	33545	34813	clbG	.
12	NC_017628.1	34810	35940	clbF	.
13	NC_017628.1	35944	36192	clbE	.
14	NC_017628.1	36222	37091	clbD	.
15	NC_017628.1	37101	39701	clbC	.
16	NC_017628.1	39742	49362	clbB	.
17	NC_017628.1	49820	50032	clbR	.
18	NC_017628.1	50033	50767	clbA	.
