	chrom	start	end	Name	gieStain
0	NC_017628.1	190	255	thrL	.
1	NC_017628.1	336	2798	thrA	.
2	NC_017628.1	2800	3732	thrB	.
3	NC_017628.1	3733	5019	thrC	.
4	NC_017628.1	5233	5529	ECOK1_RS00030	.
5	NC_017628.1	5569	6345	yaaA	.
6	NC_017628.1	6415	7845	yaaJ	.
7	NC_017628.1	8124	9077	tal	.
8	NC_017628.1	9192	9779	mog	.
9	NC_017628.1	9984	10550	satP	.
10	NC_017628.1	10699	11412	msyB	.
11	NC_017628.1	11438	11842	yaaI	.
12	NC_017628.1	12214	14130	dnaK	.
13	NC_017628.1	14219	15349	dnaJ	.
14	NC_017628.1	15454	15606	mokC	.
15	NC_017628.1	16218	16979	ECOK1_RS00090	.
16	NC_017628.1	16999	18492	ECOK1_RS00095	.
17	NC_017628.1	18621	19880	ECOK1_RS00100	.
18	NC_017628.1	20115	21281	nhaA	.
19	NC_017628.1	21341	22246	nhaR	.
20	NC_017628.1	22342	22605	rpsT	.
21	NC_017628.1	22708	22926	yaaY	.
22	NC_017628.1	22934	23875	ribF	.
23	NC_017628.1	23918	26734	ileS	.
24	NC_017628.1	26734	27228	lspA	.
25	NC_017628.1	27336	27785	fkpB	.
26	NC_017628.1	27787	28737	ispH	.
27	NC_017628.1	28803	29717	rihC	.
28	NC_017628.1	29740	30105	ECOK1_RS00155	.
29	NC_017628.1	30266	31087	dapB	.
30	NC_017628.1	31543	32691	carA	.
31	NC_017628.1	32709	35930	carB	.
32	NC_017628.1	36154	36612	tnpA	.
33	NC_017628.1	36902	37297	caiF	.
34	NC_017628.1	37416	38006	caiE	.
35	NC_017628.1	38012	38797	caiD	.
36	NC_017628.1	38906	40459	caiC	.
37	NC_017628.1	40532	41749	caiB	.
38	NC_017628.1	41877	43019	caiA	.
39	NC_017628.1	43050	44564	caiT	.
40	NC_017628.1	45037	45807	fixA	.
41	NC_017628.1	45822	46763	fixB	.
42	NC_017628.1	46814	48100	fixC	.
43	NC_017628.1	48097	48384	fixX	.
44	NC_017628.1	48443	49774	yaaU	.
45	NC_017628.1	49882	50412	kefF	.
46	NC_017628.1	50405	52267	kefC	.
47	NC_017628.1	52459	52938	folA	.
48	NC_017628.1	53024	53257	ECOK1_RS00275	.
49	NC_017628.1	53572	54420	apaH	.
50	NC_017628.1	54427	54804	apaG	.
51	NC_017628.1	54807	55628	rsmA	.
52	NC_017628.1	55625	56614	pdxA	.
53	NC_017628.1	56614	57900	surA	.
54	NC_017628.1	57953	60307	lptD	.
55	NC_017628.1	60562	61377	djlA	.
56	NC_017628.1	61527	62186	rluA	.
57	NC_017628.1	62198	65104	rapA	.
58	NC_017628.1	65268	67619	polB	.
59	NC_017628.1	67694	68389	araD	.
60	NC_017628.1	68589	70091	araA	.
61	NC_017628.1	70102	71802	araB	.
62	NC_017628.1	72141	72986	araC	.
63	NC_017628.1	73501	74349	ECOK1_RS00355	.
64	NC_017628.1	74356	74778	ECOK1_RS00360	.
65	NC_017628.1	74933	75697	yabI	.
66	NC_017628.1	75811	76509	thiQ	.
67	NC_017628.1	76493	78103	thiP	.
68	NC_017628.1	78079	79062	thiB	.
69	NC_017628.1	79226	80881	sgrR	.
70	NC_017628.1	80970	81101	ECOK1_RS00390	.
71	NC_017628.1	81209	81814	leuD	.
72	NC_017628.1	81825	83225	leuC	.
73	NC_017628.1	83228	84319	leuB	.
74	NC_017628.1	84319	85890	leuA	.
75	NC_017628.1	85982	86068	leuL	.
76	NC_017628.1	86726	87670	leuO	.
77	NC_017628.1	87988	89712	ilvI	.
78	NC_017628.1	89715	90206	ilvN	.
79	NC_017628.1	90218	90304	ECOK1_RS00435	.
80	NC_017628.1	90386	91390	cra	.
81	NC_017628.1	91992	92450	mraZ	.
82	NC_017628.1	92452	93393	rsmH	.
83	NC_017628.1	93390	93755	ftsL	.
84	NC_017628.1	93771	95537	ftsI	.
85	NC_017628.1	95524	97011	murE	.
86	NC_017628.1	97008	98366	murF	.
87	NC_017628.1	98360	99442	mraY	.
88	NC_017628.1	99445	100761	murD	.
89	NC_017628.1	100761	102005	ftsW	.
90	NC_017628.1	102002	103069	murG	.
91	NC_017628.1	103123	104598	murC	.
92	NC_017628.1	104591	105511	ddlB	.
93	NC_017628.1	105513	106343	ftsQ	.
94	NC_017628.1	106340	107602	ftsA	.
95	NC_017628.1	107663	108814	ftsZ	.
96	NC_017628.1	108915	109832	lpxC	.
97	NC_017628.1	110063	110575	secM	.
98	NC_017628.1	110637	113342	secA	.
99	NC_017628.1	113402	113800	mutT	.
100	NC_017628.1	113888	114085	yacG	.
101	NC_017628.1	114095	114838	zapD	.
102	NC_017628.1	114838	115458	coaE	.
103	NC_017628.1	115483	115527	ECOK1_RS28710	.
104	NC_017628.1	115683	116726	guaC	.
105	NC_017628.1	116761	117963	hofC	.
106	NC_017628.1	117953	119338	gspE	.
107	NC_017628.1	119348	119788	ppdD	.
108	NC_017628.1	119992	120885	nadC	.
109	NC_017628.1	120973	121524	ampD	.
110	NC_017628.1	121521	122375	ampE	.
111	NC_017628.1	122418	123788	aroP	.
112	NC_017628.1	124316	126097	tssD	.
113	NC_017628.1	126100	126384	ECOK1_RS00605	.
114	NC_017628.1	126552	126791	ECOK1_RS00610	.
115	NC_017628.1	126792	127082	ECOK1_RS00615	.
116	NC_017628.1	127249	127437	ECOK1_RS00620	.
117	NC_017628.1	127491	127781	ECOK1_RS00625	.
118	NC_017628.1	128237	129001	pdhR	.
119	NC_017628.1	129162	131825	aceE	.
120	NC_017628.1	131840	133732	aceF	.
121	NC_017628.1	133940	135364	lpdA	.
122	NC_017628.1	135606	137363	yacH	.
123	NC_017628.1	137718	140315	acnB	.
124	NC_017628.1	140490	140852	yacL	.
125	NC_017628.1	140890	141684	speD	.
126	NC_017628.1	141700	142566	speE	.
127	NC_017628.1	142672	143019	yacC	.
128	NC_017628.1	143185	144735	cueO	.
129	NC_017628.1	144782	147172	gcd	.
130	NC_017628.1	147378	147914	hpt	.
131	NC_017628.1	147955	148617	can	.
132	NC_017628.1	148726	149652	yadG	.
133	NC_017628.1	149649	150419	yadH	.
134	NC_017628.1	150524	150964	yadI	.
135	NC_017628.1	151028	152257	yadE	.
136	NC_017628.1	152261	152641	panD	.
137	NC_017628.1	152915	153799	rpnC	.
138	NC_017628.1	153881	154732	panC	.
139	NC_017628.1	154744	155538	panB	.
140	NC_017628.1	155650	156939	ECOK1_RS00740	.
141	NC_017628.1	156965	157561	ECOK1_RS00745	.
142	NC_017628.1	157588	158196	yadL	.
143	NC_017628.1	158208	158774	ECOK1_RS00755	.
144	NC_017628.1	158791	161379	htrE	.
145	NC_017628.1	161414	162154	ECOK1_RS00765	.
146	NC_017628.1	162263	162853	ECOK1_RS00770	.
147	NC_017628.1	163215	163694	folK	.
148	NC_017628.1	163691	165088	pcnB	.
149	NC_017628.1	165148	166044	gluQRS	.
150	NC_017628.1	166111	166566	dksA	.
151	NC_017628.1	166744	167448	sfsA	.
152	NC_017628.1	167463	167993	thpR	.
153	NC_017628.1	168067	170496	hrpB	.
154	NC_017628.1	170590	173124	mrcB	.
155	NC_017628.1	173344	175587	fhuA	.
156	NC_017628.1	175638	176435	fhuC	.
157	NC_017628.1	176435	177325	fhuD	.
158	NC_017628.1	177322	179304	fhuB	.
159	NC_017628.1	179339	180619	hemL	.
160	NC_017628.1	180785	180832	yadX	.
161	NC_017628.1	180844	182265	clcA	.
162	NC_017628.1	182289	182354	yadW	.
163	NC_017628.1	182347	182691	erpA	.
164	NC_017628.1	182738	183361	yadS	.
165	NC_017628.1	183399	184199	btuF	.
166	NC_017628.1	184192	184890	mtnN	.
167	NC_017628.1	184974	186491	dgt	.
168	NC_017628.1	186621	188045	degP	.
169	NC_017628.1	189407	189793	yaeH	.
170	NC_017628.1	190105	190929	dapD	.
171	NC_017628.1	190960	193632	glnD	.
172	NC_017628.1	193694	194488	map	.
173	NC_017628.1	194856	195581	rpsB	.
174	NC_017628.1	195716	196567	tsf	.
175	NC_017628.1	196714	197439	pyrH	.
176	NC_017628.1	197589	198146	frr	.
177	NC_017628.1	198238	199434	ispC	.
178	NC_017628.1	199623	200381	ispU	.
179	NC_017628.1	200394	201251	cdsA	.
180	NC_017628.1	201263	202615	rseP	.
181	NC_017628.1	202645	205077	bamA	.
182	NC_017628.1	205199	205684	skp	.
183	NC_017628.1	205688	206713	lpxD	.
184	NC_017628.1	206818	207273	fabZ	.
185	NC_017628.1	207277	208065	lpxA	.
186	NC_017628.1	208065	209213	lpxB	.
187	NC_017628.1	209210	209806	rnhB	.
188	NC_017628.1	209843	213325	dnaE	.
189	NC_017628.1	213338	214297	accA	.
190	NC_017628.1	216593	216982	yaeR	.
191	NC_017628.1	217047	218345	tilS	.
192	NC_017628.1	218393	218653	rof	.
193	NC_017628.1	218640	218840	yaeP	.
194	NC_017628.1	219006	219551	yaeQ	.
195	NC_017628.1	219548	219970	arfB	.
196	NC_017628.1	219984	220694	nlpE	.
197	NC_017628.1	220850	221674	yaeF	.
198	NC_017628.1	221727	223445	proS	.
199	NC_017628.1	223556	224263	tsaA	.
200	NC_017628.1	224260	224664	rcsF	.
201	NC_017628.1	224782	225597	metQ	.
202	NC_017628.1	225637	226290	metI	.
203	NC_017628.1	226283	227314	metN	.
204	NC_017628.1	227502	228074	gmhB	.
205	NC_017628.1	228440	229981	ECOK1_RS01065	.
206	NC_017628.1	230050	230126	ECOK1_RS01070	.
207	NC_017628.1	230169	230244	ECOK1_RS01075	.
208	NC_017628.1	230419	233322	ECOK1_RS01080	.
209	NC_017628.1	233423	233538	rrf	.
210	NC_017628.1	233592	233668	ECOK1_RS01090	.
211	NC_017628.1	233831	234634	dkgB	.
212	NC_017628.1	234631	235545	yafC	.
213	NC_017628.1	235786	236586	yafD	.
214	NC_017628.1	236664	237434	ECOK1_RS01110	.
215	NC_017628.1	237481	238839	mltD	.
216	NC_017628.1	238911	239666	gloB	.
217	NC_017628.1	239700	240422	yafS	.
218	NC_017628.1	240419	240886	rnhA	.
219	NC_017628.1	240951	241682	dnaQ	.
220	NC_017628.1	241815	241891	ECOK1_RS01140	.
221	NC_017628.1	242220	243005	ECOK1_RS01145	.
222	NC_017628.1	243345	243824	ECOK1_RS01150	.
223	NC_017628.1	243842	245200	ECOK1_RS01155	.
224	NC_017628.1	245211	248678	tssM	.
225	NC_017628.1	248758	250200	tssA	.
226	NC_017628.1	250205	250948	vasI	.
227	NC_017628.1	250945	253704	tssH	.
228	NC_017628.1	253714	254478	icmH	.
229	NC_017628.1	254483	255829	tssK	.
230	NC_017628.1	255832	256356	tssJ	.
231	NC_017628.1	256353	257645	tagH	.
232	NC_017628.1	257650	258699	tssG	.
233	NC_017628.1	258663	260504	tssF	.
234	NC_017628.1	260510	260935	tssE	.
235	NC_017628.1	260940	262424	tssC	.
236	NC_017628.1	262447	262950	tssB	.
237	NC_017628.1	263656	264174	ECOK1_RS01225	.
238	NC_017628.1	264395	266377	ECOK1_RS01235	.
239	NC_017628.1	266484	267530	ECOK1_RS01240	.
240	NC_017628.1	267523	268962	ECOK1_RS01245	.
241	NC_017628.1	268937	269227	ECOK1_RS01250	.
242	NC_017628.1	270478	270981	ECOK1_RS01265	.
243	NC_017628.1	271075	271563	ECOK1_RS01270	.
244	NC_017628.1	271834	272604	yafV	.
245	NC_017628.1	272785	273231	ivy	.
246	NC_017628.1	273274	275718	fadE	.
247	NC_017628.1	275958	276536	lpcA	.
248	NC_017628.1	276741	277508	yafJ	.
249	NC_017628.1	277479	278219	dpaA	.
250	NC_017628.1	278531	279280	yafL	.
251	NC_017628.1	279456	279953	rayT	.
252	NC_017628.1	280036	280194	ECOK1_RS28715	.
253	NC_017628.1	281957	282742	lafU	.
254	NC_017628.1	282813	283868	dinB	.
255	NC_017628.1	283920	284213	yafN	.
256	NC_017628.1	284216	284614	yafO	.
257	NC_017628.1	284624	285076	yafP	.
258	NC_017628.1	285266	286405	ECOK1_RS01345	.
259	NC_017628.1	286402	287016	prfH	.
260	NC_017628.1	287073	288530	pepD	.
261	NC_017628.1	288791	289249	gpt	.
262	NC_017628.1	289341	290585	frsA	.
263	NC_017628.1	290643	291044	crl	.
264	NC_017628.1	291154	292209	phoE	.
265	NC_017628.1	292498	293601	proB	.
266	NC_017628.1	293613	294866	proA	.
267	NC_017628.1	294981	295056	ECOK1_RS01390	.
268	NC_017628.1	295984	296478	ECOK1_RS01400	.
269	NC_017628.1	296634	300764	vat	.
270	NC_017628.1	302474	302659	ECOK1_RS01430	.
271	NC_017628.1	302874	303488	yagU	.
272	NC_017628.1	303562	303681	ECOK1_RS25885	.
273	NC_017628.1	303737	304066	ykgJ	.
274	NC_017628.1	304373	305083	ecpE	.
275	NC_017628.1	305052	306695	ecpD	.
276	NC_017628.1	306685	309210	ecpC	.
277	NC_017628.1	309236	309904	ecpB	.
278	NC_017628.1	309961	310548	ecpA	.
279	NC_017628.1	310622	311164	ecpR	.
280	NC_017628.1	312248	312388	ykgO	.
