Seqname,Source,FeatureType,Start,End,Score,Strand,Frame,x1,x2,Name,x3,Gene,gene_type,x5,x6
NC_017628.1,RefSeq,gene,190,255,.,+,.,gene-ECOK1_RS00005,thrL,Gene,thrL,protein_coding,ECOK1_RS00005,ECOK1_0001,gene-ECOK1_RS00005
NC_017628.1,RefSeq,gene,336,2798,.,+,.,gene-ECOK1_RS00010,thrA,Gene,thrA,protein_coding,ECOK1_RS00010,ECOK1_0002,gene-ECOK1_RS00010
NC_017628.1,RefSeq,gene,2800,3732,.,+,.,gene-ECOK1_RS00015,thrB,Gene,thrB,protein_coding,ECOK1_RS00015,ECOK1_0003,gene-ECOK1_RS00015
NC_017628.1,RefSeq,gene,3733,5019,.,+,.,gene-ECOK1_RS00020,thrC,Gene,thrC,protein_coding,ECOK1_RS00020,ECOK1_0004,gene-ECOK1_RS00020
NC_017628.1,RefSeq,gene,5233,5529,.,+,.,gene-ECOK1_RS00030,ECOK1_RS00030,Gene,protein_coding,ECOK1_RS00030,gene-ECOK1_RS00030,ECOK1_RS00030,Gene
NC_017628.1,RefSeq,gene,5569,6345,.,-,.,gene-ECOK1_RS00035,yaaA,Gene,yaaA,protein_coding,ECOK1_RS00035,ECOK1_0006,gene-ECOK1_RS00035
NC_017628.1,RefSeq,gene,6415,7845,.,-,.,gene-ECOK1_RS00040,yaaJ,Gene,yaaJ,protein_coding,ECOK1_RS00040,ECOK1_0007,gene-ECOK1_RS00040
NC_017628.1,RefSeq,gene,8124,9077,.,+,.,gene-ECOK1_RS00045,tal,Gene,tal,protein_coding,ECOK1_RS00045,ECOK1_0008,gene-ECOK1_RS00045
NC_017628.1,RefSeq,gene,9192,9779,.,+,.,gene-ECOK1_RS00050,mog,Gene,mog,protein_coding,ECOK1_RS00050,ECOK1_0009,gene-ECOK1_RS00050
NC_017628.1,RefSeq,gene,9984,10550,.,-,.,gene-ECOK1_RS00060,satP,Gene,satP,protein_coding,ECOK1_RS00060,ECOK1_0010,gene-ECOK1_RS00060
NC_017628.1,RefSeq,gene,10699,11412,.,-,.,gene-ECOK1_RS00065,msyB,Gene,msyB,protein_coding,ECOK1_RS00065,ECOK1_0011,gene-ECOK1_RS00065
NC_017628.1,RefSeq,gene,11438,11842,.,-,.,gene-ECOK1_RS00070,yaaI,Gene,yaaI,protein_coding,ECOK1_RS00070,ECOK1_0012,gene-ECOK1_RS00070
NC_017628.1,RefSeq,gene,12214,14130,.,+,.,gene-ECOK1_RS00075,dnaK,Gene,dnaK,protein_coding,ECOK1_RS00075,ECOK1_0013,gene-ECOK1_RS00075
NC_017628.1,RefSeq,gene,14219,15349,.,+,.,gene-ECOK1_RS00080,dnaJ,Gene,dnaJ,protein_coding,ECOK1_RS00080,ECOK1_0014,gene-ECOK1_RS00080
NC_017628.1,RefSeq,gene,15454,15606,.,-,.,gene-ECOK1_RS00085,mokC,Gene,mokC,protein_coding,ECOK1_RS00085,gene-ECOK1_RS00085,mokC
NC_017628.1,RefSeq,gene,16218,16979,.,+,.,gene-ECOK1_RS00090,ECOK1_RS00090,Gene,protein_coding,ECOK1_RS00090,ECOK1_0015,gene-ECOK1_RS00090,ECOK1_RS00090
NC_017628.1,RefSeq,gene,16999,18492,.,+,.,gene-ECOK1_RS00095,ECOK1_RS00095,Gene,protein_coding,ECOK1_RS00095,ECOK1_0016,gene-ECOK1_RS00095,ECOK1_RS00095
NC_017628.1,RefSeq,gene,18621,19880,.,+,.,gene-ECOK1_RS00100,ECOK1_RS00100,Gene,protein_coding,ECOK1_RS00100,ECOK1_0017,gene-ECOK1_RS00100,ECOK1_RS00100
NC_017628.1,RefSeq,gene,20115,21281,.,+,.,gene-ECOK1_RS00105,nhaA,Gene,nhaA,protein_coding,ECOK1_RS00105,ECOK1_0018,gene-ECOK1_RS00105
NC_017628.1,RefSeq,gene,21341,22246,.,+,.,gene-ECOK1_RS00110,nhaR,Gene,nhaR,protein_coding,ECOK1_RS00110,ECOK1_0019,gene-ECOK1_RS00110
