start	end	name	chrom	gieStain
2193827	2194339	clbS	 NC_017628.1	.
2194374	2195096	clbQ	 NC_017628.1	.
2195089	2196603	clbP	 NC_017628.1	.
2196616	2199075	clbO	 NC_017628.1	.
2199106	2203473	clbN	 NC_017628.1	.
2203470	2204909	clbM	 NC_017628.1	.
2204971	2206434	clbL	 NC_017628.1	.
2206427	2212891	clbK	 NC_017628.1	.
2212902	2219402	clbJ	 NC_017628.1	.
2219446	2222478	clbI	 NC_017628.1	.
2222528	2227324	clbH	 NC_017628.1	.
2227372	2228640	clbG	 NC_017628.1	.
2228637	2229767	clbF	 NC_017628.1	.
2229771	2230019	clbE	 NC_017628.1	.
2230049	2230918	clbD	 NC_017628.1	.
2230928	2233528	clbC	 NC_017628.1	.
2233569	2243189	clbB	 NC_017628.1	.
2243647	2243859	clbR	 NC_017628.1	.
2243860	2244594	clbA	 NC_017628.1	.
